VENTA_ZONA_101,VENTA_ZONA_102,VENTA_ZONA_103,VENTA_ZONA_104,VENTA_ZONA_107,VENTA_ZONA_109,VENTA_ZONA_110,VENTA_ZONA_111,VENTA_ZONA_112,VENTA_ZONA_115,VENTA_ZONA_116,VENTA_ZONA_119,PRECIO_NAC,N° ASESORAS_ZONA_101,N° ASESORAS_ZONA_102,N° ASESORAS_ZONA_103,N° ASESORAS_ZONA_104,N° ASESORAS_ZONA_107,N° ASESORAS_ZONA_109,N° ASESORAS_ZONA_110,N° ASESORAS_ZONA_111,N° ASESORAS_ZONA_112,N° ASESORAS_ZONA_115,N° ASESORAS_ZONA_116,N° ASESORAS_ZONA_119,N° ASESORAS,TALLA_T-12,TALLA_T-14,TALLA_T-16,TALLA_T-6,TALLA_T-8,TALLA_T-L,TALLA_T-M,TALLA_T-S,TALLA_T-UNI,TALLA_T-XL,TALLA_T-XS,TALLA_T-XXL,NOMB_SUBGRUPO_201 RE-BLUSAS FEM,NOMB_SUBGRUPO_202 RE-BODYS FEM,NOMB_SUBGRUPO_204 RE-BUZOS FEM,NOMB_SUBGRUPO_206 RE-CAMISAS FEM,NOMB_SUBGRUPO_207 RE-CAMISETAS FEM,NOMB_SUBGRUPO_209 RE-CAPRIS FEM,NOMB_SUBGRUPO_210 RE-CHALECOS FEM,NOMB_SUBGRUPO_211 RE-CHAQUETAS FEM,NOMB_SUBGRUPO_213 RE-CONJUNTOS FEM,NOMB_SUBGRUPO_214 RE-ENTERIZOS FEM,NOMB_SUBGRUPO_215 RE-FALDAS FEM,NOMB_SUBGRUPO_216 RE-JEANS FEM,NOMB_SUBGRUPO_217 RE-JOGGERS FEM,NOMB_SUBGRUPO_218 RE-LEGGINS FEM,NOMB_SUBGRUPO_219 RE-OVEROLES FEM,NOMB_SUBGRUPO_220 RE-PANTALONES FEM,NOMB_SUBGRUPO_221 RE-PESCADORES FEM,NOMB_SUBGRUPO_223 RE-SHORTS FEM,NOMB_SUBGRUPO_224 RE-SOBRETODOS FEM,NOMB_SUBGRUPO_225 RE-VESTIDOS FEM,CAMPANA_201902,CAMPANA_201903,CAMPANA_201904,CAMPANA_201905,CAMPANA_201906,CAMPANA_201907,CAMPANA_201908,CAMPANA_201909,CAMPANA_201910,CAMPANA_201911,CAMPANA_201912
25599.71,57289.29,45259.67,37926.22,13581.03,13579.7,8194.6,52639.69,38061.33,43943.99,6132.15,58345.04,105.76,47,139,197,30,170,67,31,98,58,68,179,197,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59077.7,30671.96,52296.72,42416.91,29777.46,5729.57,56821.1,35980.85,26197.91,5878.14,17699.16,18256.4,93.08,181,17,184,44,90,173,59,113,141,11,143,63,1219,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6722.23,51325.66,29736.48,26733.26,55966.24,44999.96,22959.74,36374.42,33645.88,57864.46,51449.36,46102.61,80.87,33,163,197,133,50,166,24,54,74,98,80,18,1090,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5303.72,49850.38,43877.15,45095.39,47419.87,9072.46,24715.62,11372.8,52470.69,39281.4,23199.39,8495.71,61.43,46,108,181,113,44,110,184,140,10,14,151,112,1213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6398.05,10934.03,6728.61,40002.57,22289.58,32971.39,54916.16,18711.07,27571.06,46555.31,17583.9,9233.9,59.63,95,37,75,179,54,71,194,143,37,37,117,53,1092,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11714.84,24596.38,54875.56,19967.27,40622.96,5028.62,24391.29,21762.97,14056.07,34374.92,31665.65,43083.98,57.9,161,68,127,169,105,189,122,71,195,61,21,48,1337,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13144.78,59875.73,19672.96,58713.82,27607.04,6817.79,23978.92,39889.32,42438.8,34201.4,29628.07,35409.12,85.38,192,193,132,154,47,33,78,125,107,148,153,106,1468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37499.11,42266.04,5912.33,33165.12,17457.27,40484.5,14590.15,43001.58,26270.44,56520.15,12563.65,23758.65,44.65,160,168,51,108,16,153,99,121,69,122,11,138,1216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53545.0,15378.89,20337.92,43519.68,51566.36,52097.84,27247.95,53827.36,51801.06,56459.92,48193.74,41794.35,84.36,121,108,162,102,155,137,119,91,63,172,198,178,1606,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18048.7,22896.98,46057.03,40729.81,51707.29,41168.71,36256.97,10152.11,25224.37,19586.13,18419.43,58515.58,68.41,191,17,36,36,30,39,106,37,120,70,57,156,895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
